;description;energy;kms;location;make;model;price;title;transmission;year
0;hilux 4x2 como nueva tuneado;diesel;28900;Tarapoto - San Martin - San Martin;toyota;hilux;29900;toyota hilux 2017;mecánica;2017
1;toyotas hilux 2012 y 2014 sr ultimas unidades ;diesel;6700;Lurin - Lima - Lima;toyota;hilux;8700;toyota hilux 2012;mecánica;2012
2;toyota hilux srv 2015;diesel;62400;Lima - Lima - Lima;toyota;hilux;14500;toyota hilux 2015;mecánica;2015
3;hilux 4x2 como nueva tuneado;diesel;28900;Tarapoto - San Martin - San Martin;toyota;hilux;29900;toyota hilux 2017;mecánica;2017
4;toyotas hilux 2012 y 2014 sr ultimas unidades ;diesel;6700;Lurin - Lima - Lima;toyota;hilux;8700;toyota hilux 2012;mecánica;2012
5;toyota hilux srv 2015;diesel;62400;Lima - Lima - Lima;toyota;hilux;14500;toyota hilux 2015;mecánica;2015
6;seminuevo ;gasolina;36000;Jesus Maria - Lima - Lima;toyota;camry;11000;toyota camry 2011;automática (secuencial);2011
7;auto de lujo - elegante y exclusivo (uso ejecutivo);gasolina;90000;La Victoria - Lima - Lima;toyota;avalon;8990;toyota avalon 2009;automática (secuencial);2009
8;;gasolina;23000;Santiago de Surco - Lima - Lima;toyota;rav4;22500;toyota rav4 2016;automática (secuencial);2016
9;toyota corolla semifull 1,8 automatico;gasolina;24872;San Isidro - Lima - Lima;toyota;corolla;14800;toyota corolla 2015;automática;2015
10;de lujo - camioneta conservada con servicio en concesionario;diesel;135731;Santiago de Surco - Lima - Lima;toyota;hilux;19900;toyota hilux 2008;mecánica;2008
11;muy conservado poco uso;diesel;63000;San Borja - Lima - Lima;toyota;hilux;;toyota hilux 2013;mecánica;2013
12;toyota auris hb full mecanico 2013 5 puertas;gasolina;68871;Santiago de Surco - Lima - Lima;toyota;auris;12900;toyota auris 2013;automática;2013
13;toyota hilux srv año 2013 ;diesel;84000;Arequipa - Arequipa - Arequipa;toyota;hilux;12100;toyota hilux 2013;mecánica;2013
14;toyota land cruiser prado 4x4 2016;gas glp;59600;San Borja - Lima - Lima;toyota;land cruiser prado;31500;toyota land cruiser prado 2016;automática (secuencial);2016
15;ocasión imperdible;gasolina;90000;San Isidro - Lima - Lima;toyota;rav4;9500;toyota rav4 2007;automática;2007
16;vehículo en excelente estado;gasolina;;Lima - Lima - Lima;toyota;yaris;8000;toyota yaris 2008;mecánica;2008
17;auto deportivo;dual;73000;Callao - Callao - Callao;toyota;cynos;10200;toyota cynos 2008;automática (secuencial);2008
18;excelente camioneta toyota hilux srv 4x4 automatica;diesel;70000;Miraflores - Lima - Lima;toyota;hilux;21000;toyota hilux 2011;automática;2011
19;toyota hilux uso gerencial;diesel;100000;Santiago de Surco - Lima - Lima;toyota;hilux;;toyota hilux 2011;mecánica;2011
20;;gasolina;42000;Santiago de Surco - Lima - Lima;toyota;rav4;17490;toyota rav4 2014;mecánica;2014
21;auto super liviano y económico,;gasolina;83000;Los Olivos - Lima - Lima;toyota;yaris;9500;toyota yaris 2014;mecánica;2014
22;camioneta totalmente operativa de uso personal;gasolina;77000;Lima - Lima - Lima;toyota;land cruiser prado;28000;toyota land cruiser prado 2014;automática;2014
23;remato landcruiser prado 2010;gasolina;62;Santiago de Surco - Lima - Lima;toyota;land cruiser prado;20;toyota land cruiser prado 2010;mecánica;2010
24;"toyota rav4 2014 roja - 65;000km";gasolina;65000;Santiago de Surco - Lima - Lima;toyota;rav4;16800;toyota rav4 2014;mecánica;2014
25;super ahorrador de combustible;gasolina;16000;San Luis - Lima - Lima;toyota;urban cruiser;14950;toyota urban cruiser 2016;mecánica;2016
26;"uso particular; impecable,";dual;210000;San Borja - Lima - Lima;toyota;corolla;4600;toyota corolla 1998;automática;1998
27;"camioneta 4x4 en perfecto estado; servicios concesionario";gasolina;141550;La Molina - Lima - Lima;toyota;land cruiser prado;20500;toyota land cruiser prado 2010;automática (secuencial);2010
28;"rav4 2014 único dueño; excelente estado de conservación ";gasolina;61000;La Molina - Lima - Lima;toyota;rav4;17900;toyota rav4 2014;mecánica;2014
29;"camioneta conservada con interior de lujo; todo terreno 4x4";diesel;72000;Chaclacayo - Lima - Lima;toyota;hilux;28500;toyota hilux 2014;automática;2014
30;muy bien cuidado;gasolina;100000;Santiago de Surco - Lima - Lima;toyota;rav4;11500;toyota rav4 2011;automática (secuencial);2011
31;"camioneta exclusiva; una de las pocas mecanicas en el peru,";gasolina;19000;Lima - Lima - Lima;toyota;tacoma;45000;toyota tacoma 2017;mecánica;2017
32;"excelente estado; full equipo; uso particular";gasolina;120000;Magdalena del Mar - Lima - Lima;toyota;land cruiser;16500;toyota land cruiser 2008;mecánica;2008
33;vehiculo seminuevo de consumo super económico glp y gasolina;dual;45;Puente Piedra - Lima - Lima;toyota;avanza;13800;toyota avanza 2016;mecánica;2016
34;yaris gli 1,3 at 2014;dual;58227;Villa El Salvador - Lima - Lima;toyota;yaris;12500;toyota yaris 2014;automática;2014
35;mantenimientos en toyota;gasolina;122000;San Borja - Lima - Lima;toyota;rav4;11500;toyota rav4 2010;automática;2010
36;excelente estado;gasolina;66000;Santiago de Surco - Lima - Lima;toyota;corolla;11300;toyota corolla 2013;mecánica;2013
37;full equipo ;gasolina;52000;Callao - Callao - Callao;toyota;yaris;10600;toyota yaris 2014;mecánica;2014
38;bueno bonito y barato;gasolina;60000;San Miguel - Lima - Lima;toyota;yaris;11200;toyota yaris 2017;mecánica;2017
39;auto único dueño en perfecto estado económico y original;dual;35000;San Juan de Miraflores - Lima - Lima;toyota;yaris;12000;toyota yaris 2016;mecánica;2016
40;toyota camry 2012 full equipo ;dual;26000;Miraflores - Lima - Lima;toyota;camry;13000;toyota camry 2012;automática (secuencial);2012
41;camioneta en excelente estado;diesel;78000;Lima - Lima - Lima;toyota;fortuner;23900;toyota fortuner 2012;mecánica;2012
42;vehículo en excelente estado;gasolina;33000;La Victoria - Lima - Lima;toyota;land cruiser prado;40000;toyota land cruiser prado 2015;automática;2015
43;"rav4 negra 2,0nueva;solo 36000km,";gasolina;36000;Santiago de Surco - Lima - Lima;toyota;rav4;29000;toyota rav4 2016;automática (secuencial);2016
44;auto diplomático + estado impecable + full equipo + 4x4;gasolina;69000;Miraflores - Lima - Lima;toyota;rav4;13500;toyota rav4 2012;automática;2012
45;"excelente estado; poco recorrido; huancayo ";gasolina;15600;Huancayo - Huancayo - Junin;toyota;rav4;24300;toyota rav4 2017;mecánica;2017
46;toyota rav4 2011 en excelente estado;gasolina;142000;Santiago de Surco - Lima - Lima;toyota;rav4;12300;toyota rav4 2011;automática;2011
47;vehículo en excelente estado;diesel;58000;Santiago de Surco - Lima - Lima;toyota;hilux;25500;toyota hilux 2014;mecánica;2014
48;vendo por viaje;diesel;65000;San Borja - Lima - Lima;toyota;hilux;23800;toyota hilux 2012;mecánica;2012
49;perfecto estado;diesel;42000;San Borja - Lima - Lima;toyota;hilux;26500;toyota hilux 2016;mecánica;2016
50;toyota land crusier prado txl 2,7 at 4x4 full ;gasolina;56000;Santiago de Surco - Lima - Lima;toyota;land cruiser prado;26900;toyota land cruiser prado 2013;automática;2013
51;remate de unidades;diesel;26000;San Isidro - Lima - Lima;toyota;hilux;15500;toyota hilux 2016;mecánica;2016
52;"vendo camioneta fj cruiser bien tuneado;nunca duneado";gasolina;82000;Ate - Lima - Lima;toyota;fj cruiser;27000;toyota fj cruiser 2010;automática (secuencial);2010
53;camioneta con poco kilometraje 67556km uso particular;gasolina;67556;Puente Piedra - Lima - Lima;toyota;rav4;15000;toyota rav4 2012;mecánica;2012
54;;gasolina;52000;La Molina - Lima - Lima;toyota;rav4;16300;toyota rav4 2014;automática (secuencial);2014
55;;gasolina;8483;La Victoria - Lima - Lima;toyota;land cruiser prado;55000;toyota land cruiser prado 2018;automática (secuencial);2018
56;;gasolina;101000;Santiago de Surco - Lima - Lima;toyota;corolla;10800;toyota corolla 2012;mecánica;2012
57;;gasolina;1500;La Victoria - Lima - Lima;toyota;yaris;;toyota yaris 2017;mecánica;2017
58;;gasolina;10200;Comas - Lima - Lima;toyota;rav4 - autoespar;22000;toyota rav4 - autoespar 2016;mecánica;2016
59;;gasolina;63000;Ate - Lima - Lima;toyota;corolla;11500;toyota corolla 2012;mecánica;2012
60;;gasolina;73500;Santiago de Surco - Lima - Lima;toyota;yaris;8600;toyota yaris 2010;automática;2010
61;toyota land cruiser prado vx fab 2008 motor 4,0 full sunroof;gasolina;142000;Santiago de Surco - Lima - Lima;toyota;land cruiser prado;15900;toyota land cruiser prado 2008;automática;2008
62;;diesel;85000;Lima - Lima - Lima;toyota;hiace;20000;toyota hiace 2015;mecánica;2015
63;;gasolina;150000;Miraflores - Lima - Lima;toyota;rav4;10500;toyota rav4 2008;automática;2008
64;;gasolina;76500;Barranco - Lima - Lima;toyota;corolla;14300;toyota corolla 2014;automática (secuencial);2014
65;;diesel;78600;San Borja - Lima - Lima;toyota;hilux;22400;toyota hilux 2012;mecánica;2012
66;"4x4, automática, 70;000kms,";gasolina;70000;Santiago de Surco - Lima - Lima;toyota;rav4;13800;toyota rav4 2012;automática (secuencial);2012
67;;gas gnv;71000;La Molina - Lima - Lima;toyota;corolla;13300;toyota corolla 2014;mecánica;2014
68;;gasolina;140000;Santiago de Surco - Lima - Lima;toyota;ae-86;8400;toyota ae-86 1987;mecánica;1987
69;;gasolina;54000;Chorrillos - Lima - Lima;toyota;yaris;12500;toyota yaris 2014;automática (secuencial);2014
70;;gasolina;47000;Miraflores - Lima - Lima;toyota;rav4;19800;toyota rav4 2015;automática (secuencial);2015
71;;gasolina;29000;Ate - Lima - Lima;toyota;land cruiser prado;32000;toyota land cruiser prado 2016;mecánica;2016
72;;gasolina;42000;Santiago de Surco - Lima - Lima;toyota;rav4;20500;toyota rav4 2016;mecánica;2016
73;espectacular estado;gasolina;40057;La Victoria - Lima - Lima;toyota;camry;16500;toyota camry 2013;automática;2013
74;;gasolina;18700;Lima - Lima - Lima;toyota;rav4;24500;toyota rav4 2017;mecánica;2017
75;;gasolina;38000;Los Olivos - Lima - Lima;toyota;rav4;20500;toyota rav4 2016;mecánica;2016
76;;gasolina;63000;San Borja - Lima - Lima;toyota;rav4;16800;toyota rav4 2014;mecánica;2014
77;;gasolina;4277;La Victoria - Lima - Lima;toyota;avanza;17900;toyota avanza 2018;automática;2018
78;;gasolina;147702;La Victoria - Lima - Lima;toyota;hilux;31500;toyota hilux 2016;mecánica;2016
79;;diesel;13299;La Victoria - Lima - Lima;toyota;hiace;29500;toyota hiace 2018;mecánica;2018
80;;diesel;78000;San Isidro - Lima - Lima;toyota;hilux;26000;toyota hilux 2014;automática;2014
81;;gasolina;140000;Santiago de Surco - Lima - Lima;toyota;land cruiser prado;15990;toyota land cruiser prado 2008;automática;2008
82;toyota corolla modelo 2014;gasolina;79000;Santiago de Surco - Lima - Lima;toyota;corolla;12390;toyota corolla 2014;mecánica;2014
83;toyota land cruiser prado 2008;gasolina;140000;Santiago de Surco - Lima - Lima;toyota;land cruiser prado;14900;toyota land cruiser prado 2008;automática (secuencial);2008
84;"srv realmente impecable; uso gerencial";diesel;80000;Los Olivos - Lima - Lima;toyota;hilux;;toyota hilux 2010;automática;2010
85;"realmente impecable; unica dueña,";gasolina;60000;Surquillo - Lima - Lima;toyota;tercel;;toyota tercel 1998;automática;1998
86;;gasolina;360000;San Borja - Lima - Lima;toyota;yaris;13500;toyota yaris 2017;mecánica;2017
87;;diesel;82000;San Borja - Lima - Lima;toyota;hilux;19500;toyota hilux 2013;mecánica;2013
88;"realmente nueva ; uso gerencial,";gasolina;;Los Olivos - Lima - Lima;toyota;4runner;;toyota 4runner 2014;automática;2014
89;"todo original; conservado";gasolina;50000;Los Olivos - Lima - Lima;toyota;yaris;;toyota yaris 2015;mecánica;2015
90;;gasolina;107000;La Molina - Lima - Lima;toyota;corolla;8700;toyota corolla 2009;mecánica;2009
91;realmente nueva solo 700 kms nuevo;gasolina;700;Los Olivos - Lima - Lima;toyota;avanza;;toyota avanza 2017;mecánica;2017
92;realmente impecable;gasolina;30000;Santiago de Surco - Lima - Lima;toyota;yaris;;toyota yaris 2013;automática;2013
93;realmente nuevo;gasolina;15000;Santiago de Surco - Lima - Lima;toyota;etios;11490;toyota etios 2017;mecánica;2017
94;realmente full equipo ;gasolina;55000;Santiago de Surco - Lima - Lima;toyota;urban cruiser;;toyota urban cruiser 2012;mecánica;2012
95;"realmente impecable; directa de propietario ";gasolina;54000;Santiago de Surco - Lima - Lima;toyota;auris;;toyota auris 2014;mecánica;2014
96;realmente full equipo ;gasolina;96000;Santiago de Surco - Lima - Lima;toyota;corona-avensis;;toyota corona-avensis 2008;mecánica;2008
97;realmente impecable uso particular ;diesel;30000;Los Olivos - Lima - Lima;toyota;hilux;;toyota hilux 2015;mecánica;2015
98;;gasolina;195000;Santiago de Surco - Lima - Lima;toyota;yaris;5500;toyota yaris 2000;mecánica;2000
99;;gasolina;92400;Santiago de Surco - Lima - Lima;toyota;corolla;9800;toyota corolla 2010;automática;2010
100;;gasolina;;Barranco - Lima - Lima;toyota;corolla;15200;toyota corolla 2014;automática;2014
101;;gasolina;67000;San Isidro - Lima - Lima;toyota;rav4;12500;toyota rav4 2010;mecánica;2010
102;;gasolina;82000;Arequipa - Arequipa - Arequipa;toyota;hilux;12500;toyota hilux 2013;mecánica;2013
103;;diesel;76800;San Borja - Lima - Lima;toyota;hilux;21800;toyota hilux 2013;mecánica;2013
104;toyota yaris 1,3 gli full mecanica 2015 (58854km) $11990 ;gasolina;58000;San Miguel - Lima - Lima;toyota;yaris;11990;toyota yaris 2015;mecánica;2015
105;vehículo de uso particular - entrega inmediata;gasolina;35200;Santiago de Surco - Lima - Lima;toyota;corolla;15990;toyota corolla 2016;automática (secuencial);2016
106;toyota etios 1,5 2019/20 mecanico;gasolina;80;Santiago de Surco - Lima - Lima;toyota;etios;11990;toyota etios 2019;mecánica;2019
107;;gas glp;170000;Miraflores - Lima - Lima;toyota;corolla;3900;toyota corolla 1995;automática;1995
108;vehículo de uso particular - entrega inmediata;gasolina;24220;Santiago de Surco - Lima - Lima;toyota;corolla;14990;toyota corolla 2014;mecánica;2014
109;vehículo de uso particular - entrega inmediata;gasolina;55192;Santiago de Surco - Lima - Lima;toyota;highlander;18990;toyota highlander 2013;automática (secuencial);2013
110;vehículo de uso particular - entrega inmediata;gasolina;132500;Santiago de Surco - Lima - Lima;toyota;yaris;11900;toyota yaris 2015;mecánica;2015
111;;gasolina;76000;Barranco - Lima - Lima;toyota;corolla;15200;toyota corolla 2014;automática;2014
112;vehículo de uso particular - entrega inmediata;gasolina;32700;Santiago de Surco - Lima - Lima;toyota;corolla;15990;toyota corolla 2016;mecánica;2016
113;;gasolina;;San Miguel - Lima - Lima;toyota;rav4;16400;toyota rav4 2013;mecánica;2013
114;;diesel;90000;Miraflores - Lima - Lima;toyota;corona;1700;toyota corona 1984;automática;1984
115;;gasolina;21000;Chorrillos - Lima - Lima;toyota;corolla;18100;toyota corolla 2017;automática (secuencial);2017
116;;gasolina;4889;Santiago de Surco - Lima - Lima;toyota;etios;12500;toyota etios 2018;mecánica;2018
117;;gasolina;150000;San Martin de Porres - Lima - Lima;toyota;rav4;7000;toyota rav4 2003;automática;2003
118;;gasolina;;La Molina - Lima - Lima;toyota;yaris;;toyota yaris 2011;mecánica;2011
119;;gasolina;39000;Miraflores - Lima - Lima;toyota;yaris hb;12500;toyota yaris hb 2015;automática (secuencial);2015
120;;gasolina;60000;Barranco - Lima - Lima;toyota;rav4;16000;toyota rav4 2013;mecánica;2013
121;;diesel;75200;San Borja - Lima - Lima;toyota;hilux;25200;toyota hilux 2015;mecánica;2015
122;;dual;150000;Lima - Lima - Lima;toyota;camry;2000;toyota camry 1992;automática;1992
123;;gasolina;48000;Santiago de Surco - Lima - Lima;toyota;urban cruiser;12500;toyota urban cruiser 2016;mecánica;2016
124;;dual;180000;Ate - Lima - Lima;toyota;corolla;2500;toyota corolla 1995;mecánica;1995
125;;dual;67000;Miraflores - Lima - Lima;toyota;etios;10800;toyota etios 2018;mecánica;2018
126;;gas glp;93000;Miraflores - Lima - Lima;toyota;land cruiser prado;20250;toyota land cruiser prado 2010;automática (secuencial);2010
127;;gasolina;19000;Miraflores - Lima - Lima;toyota;yaris;13500;toyota yaris 2016;mecánica;2016
128;;gasolina;57000;Santiago de Surco - Lima - Lima;toyota;tacoma;50000;toyota tacoma 2013;automática;2013
129;;gasolina;48000;Santiago de Surco - Lima - Lima;toyota;corolla;14000;toyota corolla 2014;automática;2014
130;;gasolina;180000;San Borja - Lima - Lima;toyota;corolla;6500;toyota corolla 2006;mecánica;2006
131;motor 2,4 - excelentes condiciones - servicios al dia;gasolina;;San Isidro - Lima - Lima;toyota;rav4;13950;toyota rav4 2012;automática;2012
132;;dual;190000;San Miguel - Lima - Lima;toyota;soluna;4500;toyota soluna 2001;automática;2001
133;;gasolina;151341;Santiago de Surco - Lima - Lima;toyota;avensis;6000;toyota avensis 1998;automática;1998
134;;gasolina;38000;Santiago de Surco - Lima - Lima;toyota;4runner;33000;toyota 4runner 2012;automática (secuencial);2012
135;;dual;120000;Santiago de Surco - Lima - Lima;toyota;yaris;7700;toyota yaris 2010;mecánica;2010
136;impecable!!! muy buen estado,,,;gasolina;76000;La Victoria - Lima - Lima;toyota;rav4;16500;toyota rav4 2014;automática (secuencial);2014
137;"excelente estado!!! unico dueño; cero choques!! facturable!!";diesel;88000;La Victoria - Lima - Lima;toyota;hilux;25500;toyota hilux 2015;mecánica;2015
138;;gasolina;130;La Victoria - Lima - Lima;toyota;agya;11900;toyota agya 2018;mecánica;2018
139;"nacional; servicios concesionario mitsui! como nuevo! 3filas";gasolina;23500;La Victoria - Lima - Lima;toyota;highlander;20500;toyota highlander 2013;automática (secuencial);2013
140;recibo auto en parte de pago¡¡¡;diesel;92000;Santiago de Surco - Lima - Lima;toyota;hilux;19800;toyota hilux 2014;mecánica;2014
141;impecable ocasion como nueva;diesel;50000;Santiago de Surco - Lima - Lima;toyota;hilux;32900;toyota hilux 2017;mecánica;2017
142;toyota urban cruiser full equipo 2015;gasolina;;Lima - Lima - Lima;toyota;urban cruiser;12000;toyota urban cruiser 2015;mecánica;2015
143;;gasolina;76000;Santiago de Surco - Lima - Lima;toyota;corolla;7900;toyota corolla 2008;automática (secuencial);2008
144;;gasolina;;Villa Maria del Triunfo - Lima - Lima;toyota;etios;12000;toyota etios 2018;mecánica;2018
145;toyota yaris 2001 original particular mecánico gasolina a/c ;gasolina;184000;San Borja - Lima - Lima;toyota;yaris;5600;toyota yaris 2001;mecánica;2001
146;full equipo;gasolina;34000;San Borja - Lima - Lima;toyota;corolla;13500;toyota corolla 2015;automática (secuencial);2015
147;;diesel;56000;Miraflores - Lima - Lima;toyota;hilux;26900;toyota hilux 2016;mecánica;2016
148;;gas glp;37000;Lima - Lima - Lima;toyota;yaris;11650;toyota yaris 2017;mecánica;2017
149;;gas gnv;72000;Lima - Lima - Lima;toyota;corolla;9800;toyota corolla 2012;mecánica;2012
150;"como nueva ; unico dueño";gasolina;107000;Santiago de Surco - Lima - Lima;toyota;land cruiser prado;15500;toyota land cruiser prado 2008;automática;2008
151;;gasolina;11900;Callao - Callao - Callao;toyota;yaris;11800;toyota yaris 2017;mecánica;2017
152;;diesel;80000;Santiago de Surco - Lima - Lima;toyota;hilux;18900;toyota hilux 2012;mecánica;2012
153;;gasolina;130000;Santiago de Surco - Lima - Lima;toyota;land cruiser prado;16800;toyota land cruiser prado 2009;mecánica;2009
154;;gasolina;75000;Surquillo - Lima - Lima;toyota;auris;12800;toyota auris 2014;automática (secuencial);2014
155;2016 toyota hilux srv mecanica con extras;diesel;80000;Santiago de Surco - Lima - Lima;toyota;hilux;35000;toyota hilux 2016;mecánica;2016
156;;gasolina;58000;Miraflores - Lima - Lima;toyota;yaris;10900;toyota yaris 2015;automática;2015
157;;gasolina;;Surquillo - Lima - Lima;toyota;yaris;9700;toyota yaris 2015;mecánica;2015
158;;gasolina;;Surquillo - Lima - Lima;toyota;land cruiser prado;25300;toyota land cruiser prado 2014;automática;2014
159;;gasolina;39800;San Borja - Lima - Lima;toyota;corolla;12300;toyota corolla 2012;mecánica;2012
160;toyota hilux 2014 2015 ;diesel;70000;Santiago de Surco - Lima - Lima;toyota;hilux;21900;toyota hilux 2014;mecánica;2014
161;;gasolina;115000;Chorrillos - Lima - Lima;toyota;rav4;10500;toyota rav4 2008;automática;2008
162;;gasolina;110000;Miraflores - Lima - Lima;toyota;corolla;7300;toyota corolla 2006;automática;2006
163;998144476 motor 1gr v6 4,0cc blocaje a-track camara bluetoot;gasolina;150000;Santiago de Surco - Lima - Lima;toyota;fj cruiser;18900;toyota fj cruiser 2007;automática;2007
164;;gasolina;53000;San Borja - Lima - Lima;toyota;land cruiser prado;22800;toyota land cruiser prado 2013;mecánica;2013
165;;diesel;62000;Jose Luis Bustamante y Rivero - Arequipa - Arequipa;toyota;hilux;32000;toyota hilux 2017;mecánica;2017
166;;diesel;61000;Abancay - Abancay - Apurimac;toyota;hilux surf;32000;toyota hilux surf 2017;mecánica;2017
167;;diesel;;Tacna - Tacna - Tacna;toyota;hilux surf;29500;toyota hilux surf 2017;mecánica;2017
168;;diesel;;Juliaca - San Roman - Puno;toyota;hilux surf;32000;toyota hilux surf 2017;mecánica;2017
169;;gasolina;240000;Miraflores - Lima - Lima;toyota;corolla;4500;toyota corolla 1998;automática;1998
170;;gasolina;36000;Miraflores - Lima - Lima;toyota;corolla;12500;toyota corolla 2013;mecánica;2013
171;;gasolina;38800;La Molina - Lima - Lima;toyota;corolla;11500;toyota corolla 2011;automática (secuencial);2011
172;;gasolina;240000;San Borja - Lima - Lima;toyota;camry;4700;toyota camry 2000;automática;2000
173;;gasolina;50000;Santa Anita - Lima - Lima;toyota;rav4;15000;toyota rav4 2012;mecánica;2012
174;gnv de 5ta aire acondicionado ;gas gnv;79000;Lima - Lima - Lima;toyota;yaris;9650;toyota yaris 2015;mecánica;2015
175;;gasolina;43500;La Molina - Lima - Lima;toyota;corolla;16200;toyota corolla 2016;mecánica;2016
176;;gasolina;81500;Miraflores - Lima - Lima;toyota;rav4;12500;toyota rav4 2010;automática;2010
177;;gasolina;148000;Miraflores - Lima - Lima;toyota;cressida;3900;toyota cressida 1985;mecánica;1985
178;;gas gnv;72000;Lima - Lima - Lima;toyota;yaris;10600;toyota yaris 2014;mecánica;2014
179;unico dueño ;gasolina;100000;Lima - Lima - Lima;toyota;tercel;4200;toyota tercel 1996;mecánica;1996
180;;gasolina;64000;San Borja - Lima - Lima;toyota;land cruiser prado;25000;toyota land cruiser prado 2013;mecánica;2013
181;;gasolina;190000;La Molina - Lima - Lima;toyota;corolla;8200;toyota corolla 2004;mecánica;2004
182;;gasolina;12000;Lince - Lima - Lima;toyota;corolla;17000;toyota corolla 2017;mecánica;2017
183;;gasolina;32000;Miraflores - Lima - Lima;toyota;yaris;14000;toyota yaris 2017;mecánica;2017
184;;dual;230000;Santiago de Surco - Lima - Lima;toyota;tercel;3600;toyota tercel 1993;mecánica;1993
185;;gasolina;37500;Barranco - Lima - Lima;toyota;urban cruiser;13200;toyota urban cruiser 2015;mecánica;2015
186;;gasolina;41000;La Molina - Lima - Lima;toyota;rav4;24000;toyota rav4 2017;automática (secuencial);2017
187;;gasolina;85000;San Miguel - Lima - Lima;toyota;corolla;10500;toyota corolla 2012;automática (secuencial);2012
188;;gasolina;100000;La Molina - Lima - Lima;toyota;4runner;32500;toyota 4runner 2012;automática;2012
189;bien conservado;gasolina;115573;Miraflores - Lima - Lima;toyota;corolla;8000;toyota corolla 1969;mecánica;1969
190;muy bien conservada;diesel;185000;Miraflores - Lima - Lima;toyota;land cruiser prado;15000;toyota land cruiser prado 2004;automática;2004
191;;gasolina;78000;San Isidro - Lima - Lima;toyota;hilux;25900;toyota hilux 2015;mecánica;2015
192;;diesel;;Miraflores - Lima - Lima;toyota;hiace;22000;toyota hiace 2019;mecánica;2019
193;;gasolina;140000;Santiago de Surco - Lima - Lima;toyota;rav4;7500;toyota rav4 2001;automática;2001
194;;gas glp;;Jesus Maria - Lima - Lima;toyota;land cruiser;14500;toyota land cruiser 2006;mecánica;2006
195;;gasolina;47000;San Isidro - Lima - Lima;toyota;corolla;12000;toyota corolla 2011;automática;2011
196;;gasolina;200;Santa Anita - Lima - Lima;toyota;etios;11500;toyota etios 2019;mecánica;2019
197;;gasolina;49400;San Juan de Lurigancho - Lima - Lima;toyota;urban cruiser;11000;toyota urban cruiser 2012;mecánica;2012
198;;gasolina;190000;La Victoria - Lima - Lima;toyota;probox;4300;toyota probox 2001;automática;2001
199;;gasolina;81000;San Isidro - Lima - Lima;toyota;land cruiser prado;22000;toyota land cruiser prado 2012;automática (secuencial);2012
200;;gasolina;75000;Miraflores - Lima - Lima;toyota;fj cruiser;25000;toyota fj cruiser 2010;automática;2010
201;;gasolina;175000;San Luis - Lima - Lima;toyota;land cruiser prado;19000;toyota land cruiser prado 2010;automática;2010
202;;gasolina;77080;Miraflores - Lima - Lima;toyota;rav4;12500;toyota rav4 2010;automática (secuencial);2010
203;;gasolina;;Miraflores - Lima - Lima;toyota;corolla;13800;toyota corolla 2014;automática;2014
204;;gasolina;60000;La Victoria - Lima - Lima;toyota;yaris hb;8500;toyota yaris hb 2009;automática;2009
205;;gasolina;128000;Miraflores - Lima - Lima;toyota;corolla;11000;toyota corolla 2011;automática;2011
206;;gasolina;192000;Santiago de Surco - Lima - Lima;toyota;yaris;7500;toyota yaris 2008;automática;2008
207;;gasolina;58000;San Juan de Miraflores - Lima - Lima;toyota;yaris;12800;toyota yaris 2017;automática (secuencial);2017
208;;dual;;Lima - Lima - Lima;toyota;yaris;15790;toyota yaris 2019;mecánica;2019
209;;gasolina;7800;San Isidro - Lima - Lima;toyota;corolla;16000;toyota corolla 2016;automática;2016
210;;gasolina;84000;Santiago de Surco - Lima - Lima;toyota;land cruiser prado;21600;toyota land cruiser prado 2011;automática (secuencial);2011
211;;gasolina;39800;San Borja - Lima - Lima;toyota;rav4;20300;toyota rav4 2017;automática (secuencial);2017
212;;gasolina;75812;Santiago de Surco - Lima - Lima;toyota;land cruiser prado;;toyota land cruiser prado 2014;automática;2014
213;;gasolina;60000;San Borja - Lima - Lima;toyota;corolla;12500;toyota corolla 2012;automática;2012
214;;gasolina;126000;San Borja - Lima - Lima;toyota;yaris;8000;toyota yaris 2008;mecánica;2008
215;;gasolina;46470;San Isidro - Lima - Lima;toyota;yaris;11900;toyota yaris 2016;mecánica;2016
216;;gasolina;112000;Jesus Maria - Lima - Lima;toyota;hilux;15500;toyota hilux 2010;mecánica;2010
217;;gasolina;204000;San Miguel - Lima - Lima;toyota;rav4;10000;toyota rav4 2008;mecánica;2008
218;"toyota yaris 2016 automático full equipo; impecable; ocasión";gasolina;35000;San Isidro - Lima - Lima;toyota;yaris;10990;toyota yaris 2016;automática;2016
219;;gasolina;16000;La Molina - Lima - Lima;toyota;4runner limited;53900;toyota 4runner limited 2017;automática (secuencial);2017
220;;gasolina;8500;San Borja - Lima - Lima;toyota;corolla;18500;toyota corolla 2018;mecánica;2018
221;;gasolina;161000;La Victoria - Lima - Lima;toyota;land cruiser prado;16700;toyota land cruiser prado 2008;automática (secuencial);2008
222;;gasolina;88000;La Victoria - Lima - Lima;toyota;corolla;10900;toyota corolla 2011;automática (secuencial);2011
223;;dual;75000;Chaclacayo - Lima - Lima;toyota;avanza;;toyota avanza 2017;mecánica;2017
224;;dual;;Miraflores - Lima - Lima;toyota;land cruiser;9500;toyota land cruiser 1984;mecánica;1984
225;;gasolina;183000;La Molina - Lima - Lima;toyota;rav4;;toyota rav4 2006;automática;2006
