;description;energy;kms;location;make;model;price;title;transmission;year
3223;;gasolina;140000;Pueblo Libre - Lima - Lima;honda;cr-v;9800;honda cr-v 2008;automática (secuencial);2008
3224;;gasolina;27000;Miraflores - Lima - Lima;honda;cr-v;19000;honda cr-v 2014;automática;2014
3225;;gasolina;12000;Ate - Lima - Lima;honda;cr-v;8200;honda cr-v 2016;automática;2016
3226;;gasolina;37000;Santiago de Surco - Lima - Lima;honda;civic;15850;honda civic 2015;automática;2015
3227;;gasolina;70000;San Isidro - Lima - Lima;honda;civic coupe;9900;honda civic coupe 2010;mecánica;2010
3228;;gasolina;;Los Olivos - Lima - Lima;honda;civic;20200;honda civic 2016;automática;2016
3229;;gasolina;66000;Lima - Lima - Lima;honda;civic;9200;honda civic 2009;automática;2009
3230;;gasolina;70000;Jesus Maria - Lima - Lima;honda;civic;12600;honda civic 2013;automática;2013
3231;;gasolina;;San Isidro - Lima - Lima;honda;civic coupe;;honda civic coupe 2017;automática;2017
3232;;gasolina;128000;San Borja - Lima - Lima;honda;accord;5000;honda accord 2001;automática;2001
3233;;gasolina;65000;La Molina - Lima - Lima;honda;pilot;19000;honda pilot 2011;automática;2011
3234;;gasolina;90000;San Isidro - Lima - Lima;honda;pilot;15200;honda pilot 2010;automática;2010
3235;;gasolina;49400;Santiago de Surco - Lima - Lima;honda;cr-v;18000;honda cr-v 2014;automática;2014
3236;;gasolina;138000;Santiago de Surco - Lima - Lima;honda;cr-v;12000;honda cr-v 2009;automática;2009
3237;;gasolina;32500;Magdalena del Mar - Lima - Lima;honda;cr-v;20300;honda cr-v 2016;automática;2016
3238;bellísimo accord versión tope de gama ;gasolina;65000;La Molina - Lima - Lima;honda;accord;9600;honda accord 2010;automática;2010
3239;;gasolina;11900;Ate - Lima - Lima;honda;pilot;29000;honda pilot 2016;automática (secuencial);2016
3240;;gas;117000;Miraflores - Lima - Lima;honda;civic;3900;honda civic 1997;automática;1997
3241;;gasolina;25000;Chorrillos - Lima - Lima;honda;civic;13300;honda civic 2015;automática;2015
3242;;gasolina;;Santiago de Surco - Lima - Lima;honda;pilot;18700;honda pilot 2012;automática;2012
3243;;gasolina;93000;San Borja - Lima - Lima;honda;accord;9900;honda accord 2011;automática;2011
3244;;gasolina;93000;Trujillo - Trujillo - La Libertad;honda;fit;;honda fit 2008;automática;2008
3245;;dual;86000;Santiago de Surco - Lima - Lima;honda;hrv;19000;honda hrv 2016;automática (secuencial);2016
3246;998144476 full 4*2 cuero airbags abs uso femenino no choques;gasolina;94000;Santiago de Surco - Lima - Lima;honda;cr-v;10500;honda cr-v 2008;automática (secuencial);2008
3247;;gasolina;49920;San Borja - Lima - Lima;honda;civic;15300;honda civic 2014;automática;2014
3248;;gasolina;59500;Santiago de Surco - Lima - Lima;honda;accord;11700;honda accord 2012;automática;2012
3249;;gasolina;63573;Miraflores - Lima - Lima;honda;pilot;17800;honda pilot 2009;automática (secuencial);2009
3250;;dual;;Santiago de Surco - Lima - Lima;honda;accord;2500;honda accord 1988;automática;1988
3251;;gasolina;57000;La Molina - Lima - Lima;honda;pilot;17300;honda pilot 2011;automática;2011
3252;honda civic año 2013/2014 motor 1,8 serv, en japan motors;gasolina;40000;Surquillo - Lima - Lima;honda;civic;13300;honda civic 2013;automática;2013
3253;;gasolina;114422;San Isidro - Lima - Lima;honda;crv;9500;honda crv 2007;automática;2007
3254;honda accord 2010 modelo 2011 motor 2,400 automático ;gasolina;72000;Surquillo - Lima - Lima;honda;accord;10500;honda accord 2010;automática;2010
3255;;gasolina;211000;Surquillo - Lima - Lima;honda;civic;3500;honda civic 1996;automática;1996
3256;;gasolina;67000;La Molina - Lima - Lima;honda;cr-v;11600;honda cr-v 2009;automática;2009
3257;;gasolina;80000;Barranco - Lima - Lima;honda;crv;11500;honda crv 2010;automática (secuencial);2010
