Index,Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1496,90,1,Never Love Again,8335790,Eminem,46814751, rap,62.0,0.747,0.899,-5.125,0.246,0.1,0.486,92.029,177547.0,0.581,F
1498,94,1,Farewell,8277608,Eminem,46814751, rap,61.0,0.89,0.664,-6.625,0.106,0.00487,0.257,93.007,247733.0,0.467,E
1500,100,1,Alfred - Interlude,8030151,Eminem,46814751, rap,57.0,0.429,0.231,-20.43,0.402,0.878,0.279,74.545,30133.0,0.914,F
1501,102,1,Little Engine,7913461,Eminem,46814751, rap,60.0,0.769,0.811,-4.162,0.228,0.0234,0.0451,155.081,177293.0,0.76,A#/Bb
1502,113,1,"I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)",7115414,Eminem,46814751, rap,60.0,0.635,0.543,-5.941,0.067,0.0454,0.272,98.743,303000.0,0.036,G#/Ab
1511,87,1,Vulnerable,7531094,Selena Gomez,28931149,dance pop,55.0,0.695,0.573,-8.882,0.167,0.132,0.156,100.031,192172.0,0.38,A#/Bb
1511,87,1,Vulnerable,7531094,Selena Gomez,28931149, pop,55.0,0.695,0.573,-8.882,0.167,0.132,0.156,100.031,192172.0,0.38,A#/Bb
1511,87,1,Vulnerable,7531094,Selena Gomez,28931149, post-teen pop,55.0,0.695,0.573,-8.882,0.167,0.132,0.156,100.031,192172.0,0.38,A#/Bb
1512,90,1,Dance Again,7394604,Selena Gomez,28931149,dance pop,56.0,0.784,0.552,-7.261,0.0871,0.0447,0.192,111.984,170498.0,0.465,C#/Db
1512,90,1,Dance Again,7394604,Selena Gomez,28931149, pop,56.0,0.784,0.552,-7.261,0.0871,0.0447,0.192,111.984,170498.0,0.465,C#/Db
1512,90,1,Dance Again,7394604,Selena Gomez,28931149, post-teen pop,56.0,0.784,0.552,-7.261,0.0871,0.0447,0.192,111.984,170498.0,0.465,C#/Db
1513,107,1,Ring,6693229,Selena Gomez,28931149,dance pop,55.0,0.873,0.51,-5.35,0.0661,0.565,0.0738,110.953,148776.0,0.871,D#/Eb
