Index,Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1264,27,2,Scared To Live,6566099,The Weeknd,35340069, pop,66.0,0.504,0.498,-8.24,0.0499,0.131,0.0929,87.221,191307.0,0.196,C
1265,21,2,Alone Again,6055294,The Weeknd,35340069, pop,66.0,0.218,0.652,-7.953,0.0641,0.033,0.172,65.375,250053.0,0.0599,E
1266,118,1,Boys Will Be Boys,6015914,Dua Lipa,27167675,dance pop,63.0,0.768,0.486,-5.954,0.0353,0.408,0.098,125.021,166266.0,0.519,D#/Eb
1266,118,1,Boys Will Be Boys,6015914,Dua Lipa,27167675, pop,63.0,0.768,0.486,-5.954,0.0353,0.408,0.098,125.021,166266.0,0.519,D#/Eb
1269,28,2,Too Late,5867746,The Weeknd,35340069, pop,67.0,0.638,0.863,-5.221,0.132,0.052,0.685,120.077,239973.0,0.226,E
1271,36,2,Faith,5730081,The Weeknd,35340069, pop,67.0,0.375,0.605,-7.268,0.0729,0.612,0.147,175.946,283227.0,0.128,C
1272,35,2,Snowchild,5423997,The Weeknd,35340069, pop,66.0,0.55,0.611,-7.475,0.137,0.162,0.121,148.062,247187.0,0.243,C
1273,37,2,Escape From LA,5307288,The Weeknd,35340069, pop,67.0,0.404,0.524,-8.996,0.0593,0.0456,0.199,145.74,355960.0,0.168,F
1279,51,1,Repeat After Me (Interlude),10058303,The Weeknd,35340069, pop,63.0,0.555,0.619,-7.918,0.0314,0.0323,0.0917,95.032,195813.0,0.141,C
1280,68,1,Until I Bleed Out,9132077,The Weeknd,35340069, pop,63.0,0.245,0.394,-9.887,0.0374,0.423,0.093,115.233,190173.0,0.148,C
1285,15,3,Baby Pluto,5600261,Lil Uzi Vert,11821805, rap,69.0,0.772,0.634,-6.101,0.212,0.135,0.432,160.052,210261.0,0.671,A#/Bb
1285,15,3,Baby Pluto,5600261,Lil Uzi Vert,11821805, trap,69.0,0.772,0.634,-6.101,0.212,0.135,0.432,160.052,210261.0,0.671,A#/Bb
1286,31,3,Lo Mein,5231134,Lil Uzi Vert,11821805, rap,67.0,0.855,0.676,-5.736,0.325,0.0888,0.144,133.082,195299.0,0.509,C#/Db
1286,31,3,Lo Mein,5231134,Lil Uzi Vert,11821805, trap,67.0,0.855,0.676,-5.736,0.325,0.0888,0.144,133.082,195299.0,0.509,C#/Db
1288,57,3,Futsal Shuffle 2020 - Bonus Track,5068849,Lil Uzi Vert,11821805, rap,63.0,0.879,0.448,-8.57,0.222,0.0346,0.224,136.985,198913.0,0.278,G
1288,57,3,Futsal Shuffle 2020 - Bonus Track,5068849,Lil Uzi Vert,11821805, trap,63.0,0.879,0.448,-8.57,0.222,0.0346,0.224,136.985,198913.0,0.278,G
1291,42,5,Feel Me,4765672,Selena Gomez,28931149,dance pop,63.0,0.71,0.808,-6.703,0.0433,0.44,0.0734,99.989,226003.0,0.392,D
1291,42,5,Feel Me,4765672,Selena Gomez,28931149, pop,63.0,0.71,0.808,-6.703,0.0433,0.44,0.0734,99.989,226003.0,0.392,D
1291,42,5,Feel Me,4765672,Selena Gomez,28931149, post-teen pop,63.0,0.71,0.808,-6.703,0.0433,0.44,0.0734,99.989,226003.0,0.392,D
1293,63,4,25/8,4684378,Bad Bunny,36177712, reggaeton,71.0,0.761,0.732,-5.469,0.0549,0.092,0.0716,151.982,243276.0,0.542,E
1293,63,4,25/8,4684378,Bad Bunny,36177712, trap latino,71.0,0.761,0.732,-5.469,0.0549,0.092,0.0716,151.982,243276.0,0.542,E
1296,45,4,SoliÃ¡,4516243,Bad Bunny,36177712, reggaeton,72.0,0.71,0.81,-5.507,0.0854,0.117,0.154,92.041,159282.0,0.184,D
